,fors2name,zobs,Nc,Ns,Nm,funcmin_c,funcmin_m,funcmin_s,MAH_lgmO,MAH_logtc,MAH_early_index,MAH_late_index,MS_lgmcrit,MS_lgy_at_mcrit,MS_indx_lo,MS_indx_hi,MS_tau_dep,Q_lg_qt,Q_qlglgdt,Q_lg_drop,Q_lg_rejuv,AV,UV_BUMP,PLAW_SLOPE,LGMET,LGMETSCATTER
39,SPEC86,0.1265,879,872,7,1105465.5483148494,781.7970479110721,2210149.2995817875,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
40,SPEC87,1.102,1003,995,8,4464304.106476242,9329.643456904898,8919278.56949558,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
41,SPEC89,0.6879,914,905,9,338446.05965904676,3315.77690154236,673576.3424165512,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
42,SPEC91,0.688,877,868,9,892918.055330822,2169.040121739313,1783667.0705399048,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
43,SPEC93,0.2885,1120,1111,9,278191.04299050866,67.63263740903787,556314.4533436083,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
44,SPEC205,0.68833,797,789,8,661134.1764219687,46308.246017950834,1275960.1068259866,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
45,SPEC210,0.29316,1400,1391,9,4164681.866365045,759783.169629418,7569580.563100671,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
46,SPEC214,0.29266,1354,1345,9,4103601.100632607,392567.6818737345,7814634.51939148,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
47,SPEC218,0.438,489,480,9,6443.178242053417,12654.165592819343,232.1908912874918,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
48,SPEC221,0.50376,1040,1032,8,803042.622939853,30298.735936611094,1575786.5099430948,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
49,SPEC222,0.29452,837,828,9,1056708.028530932,1452991.0485168397,660425.0085450241,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
50,SPEC223,0.56082,1446,1437,9,40105225.82434113,260807.08052460273,79949644.56815766,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
51,SPEC226,1.00453,1274,1265,9,27898678.040136077,28096.27486033048,55769259.80541182,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
52,SPEC227,1.00404,1171,1162,9,9211884.369592842,29839.156948873737,18393929.58223681,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
53,SPEC231,0.29279,814,805,9,1612814.0883676605,1173909.8866749366,2051718.2900603847,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
54,SPEC233,0.63909,1351,1342,9,2368937.777211257,222426.55465095842,4515448.999771555,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
55,SPEC234,0.46605,1368,1359,9,19845048.498449013,1739432.2576249533,37950664.73927307,11.79374898848214,0.15,0.1,0.8222991558872619,12.145592111464241,-1.0565044509433275,0.7,-0.9879799088704458,2.17490620026125,1.3112142871396322,-0.5109355834303541,-0.9960256488711932,-0.212307,0.7767215064797067,2.9749292909109895,-0.058444849293234916,-3.5000013585027654,0.1
56,SPEC235,0.29384,1131,1123,8,55586229893.838425,28720.799749823946,111172431066.8771,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
57,SPEC236,0.32076,1345,1336,9,142584372.3680303,8890.306470194435,285159854.4295904,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
58,SPEC237,0.4364,1350,1341,9,23202900.02678695,22106.738485724356,46383693.315088175,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
59,SPEC238,0.29179,1190,1182,8,1101644.2247614625,1814.225503222092,2201474.224019703,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
60,SPEC240,0.39638,1331,1322,9,15465234.757894648,2678.7263976183394,30927790.789391678,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
61,SPEC242,0.07474,1330,1321,9,64186592.069210984,3364.2156599888453,128369819.92276198,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
62,SPEC243,0.60239,1352,1343,9,426110.6801807418,22834.59323928948,829386.7671221942,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
63,SPEC244,0.44853,1327,1319,8,3125603.1884723986,345.62776489745266,6250860.7491799,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
64,SPEC245,0.58548,1035,1027,8,14476308.286745118,813.9644510479253,28951802.609039187,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
65,SPEC246,0.68943,1366,1357,9,16063418.725027379,21561.05521930667,32105276.39483545,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
66,SPEC248,0.95751,1271,1262,9,8679097.530000918,18043.613980267204,17340151.446021568,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
67,SPEC249,0.07588,1222,1215,7,899179.8946974991,3472.3352363196263,1794887.4541586787,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
68,SPEC250,0.63175,1351,1342,9,179433.59795026138,3450.799918524562,355416.3959819982,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
69,SPEC252,0.29656,1340,1331,9,542127983.6275362,2105.1857229168486,1084253862.0693495,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
70,SPEC253,0.7209,1309,1300,9,211617.37077818735,1692.0152177808563,421542.7263385939,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
