,fors2name,zobs,Nc,Ns,Nm,funcmin_c,funcmin_m,funcmin_s,MAH_lgmO,MAH_logtc,MAH_early_index,MAH_late_index,MS_lgmcrit,MS_lgy_at_mcrit,MS_indx_lo,MS_indx_hi,MS_tau_dep,Q_lg_qt,Q_qlglgdt,Q_lg_drop,Q_lg_rejuv,AV,UV_BUMP,PLAW_SLOPE,SCALEF
10,SPEC33,0.44741,1375,1366,9,1642971.830149886,3954.8668485064777,3281988.7934512654,13.358868387312482,0.060000000000000005,4.0,1.5,12.25,-0.8191447884167224,0.9098232333676171,-0.75,2.086678263558187,1.1,-0.60725,-0.91773,-0.212307,0.3614807205506777,3.0,0.0,1.0
11,SPEC34,0.63013,1338,1329,9,676904.1092453079,789.0759051367445,1353019.142585479,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.576136677353265,1.0,-0.35,1.0
12,SPEC35,0.44862,1345,1336,9,6850601.17563744,1651.5274452516753,13699550.823829629,13.956376250263833,0.059242730032046796,4.0,0.5451444502011985,11.961863844095397,-0.7501220745463653,0.7500001468439796,-0.9604971273171858,2.235359556922233,1.1,-0.60725,-0.91773,-0.212307,0.00020551279150608448,1.072719211750593,-0.01815786387474812,1.0
13,SPEC36,0.82266,1339,1330,9,5714947.568996419,4173.034148617181,11425722.103844222,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.0,1.7137890648349552,0.0,1.0
14,SPEC37,0.68905,1378,1369,9,1490769.0162777381,547.6572603689565,2980990.3752951073,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.5783524879804673,1.0,-0.35,1.0
15,SPEC45,1.10116,1292,1283,9,522903.19691804633,28.8568677789419,1045777.5369683137,14.0,0.060000000000000005,4.0,0.8799768902548656,12.25,-0.75,0.75,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.08756997149994554,1.0,-0.35,1.0
16,SPEC47,0.29369,774,766,8,164243.8196391631,31.717170484052257,328455.9221078421,12.064775944136722,0.060000000000000005,2.9492336217345283,1.1475497136990367,12.239683587400455,-0.7500000000221184,1.214335724008325,-0.9902837077061263,2.076373243810835,0.9431854937083135,-0.60725,-1.1177300000000001,-0.11230699999999999,0.0,1.7096020285292666,0.0,1.0
17,SPEC49,0.68613,1263,1254,9,70822.78773921628,890.3346667466858,140755.24081168586,13.945873120252834,0.060000000000000005,3.7397971351145034,0.6169485998699562,12.25,-0.75,0.75,-0.75,2.127726023058672,1.1,-0.60725,-0.91773,-0.212307,0.4282314938307311,1.0476933992233834,-0.1568801307943552,1.0
18,SPEC51,0.62989,1000,991,9,160335.45480562118,6356.107918652805,314314.80169258954,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
19,SPEC55,0.44889,1379,1370,9,2388625.227996429,236.8829502255407,4777013.573042632,14.0,0.05706140607197299,3.3814962203621013,0.5,12.25,-0.75,0.75,-1.25,1.75,1.1,-0.60725,-0.91773,-0.212307,0.19246227433007124,3.0,-0.35,1.0
20,SPEC57,0.21729,1350,1341,9,322577.24033964303,111.10225769752657,645043.3784215886,13.990315549199403,0.04544400411276352,1.0,0.5572251117065883,11.800072175847477,-1.2037124528065999,0.7501053749161074,-1.124606808911968,2.25,1.1,-0.60725,-0.91773,-0.11230699999999999,0.0,1.0,0.0,1.0
21,SPEC58,0.63131,1009,1001,8,127616597.24520533,6626.4484592612935,255226568.0419514,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
22,SPEC59,0.89,1030,1021,9,218298.28753570435,339.0157044238874,436257.5593669848,13.644860180022679,0.04366922374808829,3.4460842815436687,1.5,12.152201737867891,-0.7500000002108462,0.7733274507792294,-0.75,2.25,1.0,-0.50725,-1.01773,-0.212307,0.0,1.0,0.0,1.0
23,SPEC61,0.48582,1365,1356,9,194141.49603214354,118.40683300813886,388164.5852312789,12.372111958226583,0.060000000000000005,4.0,1.5,12.244809238973186,-0.7501330683871466,1.25,-0.7695424004754121,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
24,SPEC62,0.32338,862,858,4,4409847.004019988,12.60333818985506,8819681.404701786,11.37353600152062,0.04,1.0,0.5,12.25,-0.75,0.75,-0.8675370081948868,2.25,0.9920086269363311,-0.60725,-1.1177300000000001,-0.312307,0.08609143757007653,3.0,-0.35,1.0
25,SPEC66,0.44613,1357,1349,8,2055362.8513654696,7.384728010290867,4110718.318002929,11.833329794026282,0.060000000000000005,4.0,1.5,11.75,-0.9709843308259525,1.25,-1.25,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
26,SPEC67,0.52542,1393,1384,9,49417.46195343254,9.039098554232046,98825.88480831085,12.327626219833336,0.060000000000000005,4.0,1.5,12.195062507632885,-0.75,1.25,-1.25,2.25,1.1,-0.60725,-0.91773,-0.212307,0.34205738940256936,3.0,0.0,1.0
27,SPEC68,0.11682,1388,1379,9,1858848.787209409,203.84226663675616,3717493.732152181,11.711101324447215,0.060000000000000005,2.5265317569569143,1.1113125943289872,12.155374316565792,-1.1255253493977817,0.8792399176443055,-0.9850738497243998,2.000032468531263,1.0964430344684248,-0.42310358490885297,-0.9265219266175094,-0.312307,0.5692706423101516,2.0128098491977227,-6.976806062977888e-05,1.0
28,SPEC69,0.82624,1130,1121,9,604336.8758829617,451.0079505763471,1208222.743815347,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.22590313234569942,1.0,-0.35,1.0
29,SPEC70,0.98172,1048,1039,9,397915.73248407536,222.545074082942,795608.9198940678,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.3098639779077757,1.0,-0.35,1.0
30,SPEC71,0.29381,1336,1328,8,667069.6841265288,142.64852742720637,1333996.7197256305,11.74199966681808,0.060000000000000005,4.0,1.5,11.773029531386841,-1.2489252348035425,1.25,-1.25,1.7693575874695595,1.1,-0.60725,-0.91773,-0.312307,0.0,3.0,0.0,1.0
31,SPEC72,1.0,1309,1303,6,641671.558838651,14.030403243377153,1283329.0872740587,13.855236281474689,0.05664829571680293,1.0,1.18593203326302,12.167543283393275,-0.750003230727203,0.780104685327983,-1.1666643095146627,1.830628766320657,1.0,-0.50725,-1.01773,-0.212307,0.0,1.0,0.0,1.0
32,SPEC73,0.63179,1316,1307,9,198329.08945783594,798.9711919756653,395859.20772369625,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,2.25,1.1,-0.60725,-0.91773,-0.212307,0.7014917466998339,1.194404910283671,-0.35,1.0
33,SPEC77,0.96342,1288,1280,8,5810.091920418638,265.86253005408196,11354.321310783194,14.0,0.060000000000000005,1.715683752743092,1.4791341623354648,12.25,-0.75,0.7808895142957372,-0.75,2.1982060890918116,1.0,-0.50725,-1.01773,-0.212307,0.0835865378909131,1.0,-0.02568387528182136,1.0
34,SPEC79,0.29317,1197,1189,8,69728.3382528012,15.343608639758823,139441.33289696265,11.707605328222733,0.04,1.012957855870679,1.5,11.75,-1.25,1.25,-1.25,2.25,0.9237802451843292,-0.6028171098966176,-1.1177300000000001,-0.11230699999999999,0.0,1.0,0.0,1.0
35,SPEC80,0.62787,1201,1192,9,195288.8355690162,630.7171142502784,389946.9540237821,12.707021861000621,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
36,SPEC83,0.628,959,950,9,11918.92214200132,182.53111066521006,23655.31317333743,12.738936813729905,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.5533259398431362,1.0,-0.35,1.0
37,SPEC84,1.046,1111,1102,9,349151.41406781215,31.346562390498914,698271.4815732338,14.0,0.060000000000000005,1.0,1.5,11.753295619757818,-0.7571450501868137,0.75,-0.75,2.25,1.0,-0.50725,-1.01773,-0.212307,0.0,1.0,0.0,1.0
38,SPEC85,0.979,1114,1105,9,22925.496307797956,236.96903075763365,45614.02358483828,13.96772153636645,0.060000000000000005,4.0,0.6489606905094059,12.25,-0.75,0.75,-0.75,2.25,1.0,-0.50725,-1.01773,-0.212307,0.13828749386729122,1.0000011005379796,-0.06385254871033298,1.0
39,SPEC86,0.1265,879,872,7,60077.49720301954,26.602249145983834,120128.3921568931,11.448500432580168,0.060000000000000005,4.0,1.5,11.75,-1.25,1.25,-1.25,2.25,0.9956730180118655,-0.6056497712387512,-1.1177300000000001,-0.11230699999999999,0.0,3.0,0.0,1.0
40,SPEC87,1.102,1003,995,8,2027295.1600654153,59.683369474006874,4054530.6367613566,14.0,0.04,1.0,0.5,12.25,-0.75,0.7628622791198867,-0.8274844757858233,1.75,1.0,-0.50725,-1.01773,-0.212307,0.0,1.0,0.0,1.0
41,SPEC89,0.6879,914,905,9,11779.284011652884,188.30176842995172,23370.266254875816,13.770639913497144,0.040005815002498175,3.8929088448665596,0.537422893979835,12.053507594181491,-0.7577633993369693,0.7660690540349415,-0.9422379410575241,2.207023723677433,1.1,-0.60725,-0.91773,-0.212307,0.1963455938855455,1.0000004636257054,-0.0174167553439756,1.0
42,SPEC91,0.688,877,868,9,103024.69393113551,80.30058605913825,205969.08727621188,12.903453384367504,0.0599453893767797,3.999995163078292,1.0479407059357904,12.197940572733145,-1.1511565305060776,0.8137546053664171,-0.75,2.25,1.1,-0.60725,-0.91773,-0.212307,2.1174801886480585e-05,1.0,0.0,1.0
43,SPEC93,0.2885,1120,1111,9,111561.6283556028,14.343625715178446,223108.91308549044,11.75767929940723,0.060000000000000005,4.0,1.5,11.760666616600062,-1.2482356258151217,1.25,-1.25,2.25,1.1,-0.60725,-0.91773,-0.312307,0.0,3.0,0.0,1.0
44,SPEC96,0.7741,1163,1154,9,65407.854072259666,274.5486057107384,130541.1595388086,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.4041189863687976,1.0,-0.35,1.0
45,SPEC97,0.436,839,832,7,14525.087213377778,91.0601527490568,28959.114274006497,12.277353280653747,0.060000000000000005,4.0,1.5,12.200518016338386,-0.8768774413177174,1.25,-1.1004392566834311,1.839962872946014,1.1,-0.60725,-0.91773,-0.212307,0.26998126097434566,3.0,0.0,1.0
46,SPEC102,0.5133,834,827,7,207778.47907169495,707.6852925839728,414849.27285080595,13.736415342807641,0.060000000000000005,3.917216180577667,0.6604491873537821,12.075013738951982,-0.7645199276862551,0.7638075326608773,-0.7643239418587161,2.2202654939301922,1.1,-0.60725,-0.91773,-0.212307,0.05653383192212378,1.055588136330847,-0.013796299932468366,1.0
47,SPEC106,0.6436,1145,1136,9,189865.52586716638,48.06283743077737,379682.98889690195,12.516876986393603,0.060000000000000005,4.0,1.4999984326156182,12.24990220933095,-0.7500624850175304,1.2057593909009319,-1.25,2.25,1.1,-0.60725,-0.91773,-0.212307,0.14732487989819212,1.3048053822339345,-0.05474244607346258,1.0
48,SPEC107,1.022,1281,1272,9,38377.1463606566,177.645990381703,76576.6467309315,14.0,0.04,1.9987672651555135,0.5,12.25,-0.75,0.770795705421421,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.27459641011638536,1.0,-0.35,1.0
49,SPEC109,0.8266,1329,1320,9,592632.6514939351,3693.5647666356863,1181571.7382212346,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.0,1.0,0.0,1.0
50,SPEC113,1.301,1326,1317,9,346481.91960913525,21.030362616275063,692942.8088556542,14.0,0.04000000085626437,1.0,0.5240792546532242,12.25,-0.75,0.8014777808886152,-0.8718418817391481,2.2337081706044963,1.0,-0.50725,-1.01773,-0.212307,0.0,1.0,0.0,1.0
51,SPEC114,1.214,1269,1260,9,19003.779007984333,133.78017288128788,37873.77784308738,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,1.75,1.0,-0.50725,-1.01773,-0.212307,0.11328767631347729,1.0,-0.35,1.0
52,SPEC115,0.6886,1388,1379,9,1127726.570648187,2259.532475163749,2253193.6088212105,14.0,0.0587008554997694,3.973561392869019,0.5982758377762204,12.25,-0.75,0.75,-0.75,2.2161663915496805,1.1,-0.60725,-0.91773,-0.212307,0.11463164078496736,1.0247579073998354,-0.0297023790480564,1.0
53,SPEC117,0.4479,1113,1104,9,451556.3209096468,201.94863358739795,902910.6931857062,14.0,0.060000000000000005,4.0,0.5,11.972561831289562,-0.75,0.75,-1.25,1.75,1.1,-0.60725,-0.91773,-0.212307,0.18226369650243715,3.0,0.0,1.0
54,SPEC118,0.688,868,859,9,599610.8109923265,3110.9911892398386,1196110.6307954132,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
55,SPEC120,0.5585,1289,1280,9,463953.9500565714,46.67333052976989,927861.226782613,13.707032062896285,0.060000000000000005,3.861495278946936,0.8423519017916399,11.75,-1.0780642238993356,0.7810835254328035,-0.7860803064428332,2.2413862228852284,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
56,SPEC121,0.8823,1334,1325,9,17245.32901157069,222.07137490545927,34268.58664823593,14.0,0.060000000000000005,4.0,1.4306419340832623,12.25,-0.75,0.75,-0.75,2.1244336637696324,1.0,-0.50725,-1.01773,-0.212307,0.5190370689094588,1.0,-0.35,1.0
